From,To
New York,London
Tokyo,Sydney
Paris,Berlin
Dubai,Mumbai
San Francisco,Tokyo
Toronto,New York
Shanghai,Singapore
Los Angeles,Mexico City
Istanbul,Athens
Madrid,Rome
Bangkok,Hong Kong
Seoul,Shanghai
Chicago,Toronto
Cape Town,Nairobi
Melbourne,Auckland
Kuala Lumpur,Jakarta
Rio de Janeiro,Buenos Aires
Berlin,Prague
Lima,Bogota
Montreal,Miami
Santiago,Lima
Vancouver,San Francisco
Boston,Dublin
Oslo,Helsinki
Sydney,Brisbane
Singapore,Bangkok
Zurich,Vienna
Tokyo,Seoul
Dubai,Tel Aviv
Doha,Istanbul
Athens,Cairo
Lisbon,Madrid
Warsaw,Budapest
Houston,Phoenix
Dallas,Atlanta
Stockholm,Copenhagen
Hanoi,Ho Chi Minh City
Casablanca,Algiers
Abu Dhabi,Riyadh
Nairobi,Accra
Moscow,Tbilisi
Addis Ababa,Lagos
Tehran,Karachi
Lahore,Islamabad
Dhaka,Colombo
Kathmandu,Delhi
Ulaanbaatar,Nur-Sultan
Brussels,Amsterdam
Perth,Jakarta
Tashkent,Bishkek
London,Paris
Los Angeles,San Francisco
Hong Kong,Seoul
Chicago,Boston
Rome,Vienna
Miami,Atlanta
Cape Town,Addis Ababa
Jakarta,Singapore
Mexico City,Bogota
Montreal,Toronto
Dubai,Doha
New York,Miami
Tokyo,Osaka
Cairo,Istanbul
Berlin,Warsaw
Rio de Janeiro,Lima
Buenos Aires,Santiago
Melbourne,Sydney
Lisbon,Dublin
Helsinki,Stockholm
Ho Chi Minh City,Bangkok
Casablanca,Nairobi
Vienna,Prague
Dallas,Houston
Phoenix,San Diego
Vancouver,Seattle
Kuala Lumpur,Manila
Manila,Taipei
Taipei,Hong Kong
Nairobi,Accra
Accra,Lagos
Addis Ababa,Luanda
Luanda,Cape Town
Athens,Rome
Oslo,Brussels
Stockholm,Helsinki
Zurich,Amsterdam
Tel Aviv,Istanbul
Tehran,Dubai
Moscow,Helsinki
Doha,Abu Dhabi
Kuwait City,Dubai
Islamabad,Delhi
Colombo,Mumbai
Karachi,Tehran
Yerevan,Tbilisi
Tbilisi,Baku
Kigali,Nairobi
Muscat,Dubai
Jeddah,Riyadh
Brisbane,Perth
Barcelona,Paris
Caracas,Bogota
Sao Paulo,Buenos Aires
Nairobi,Addis Ababa
Accra,Lagos
Luanda,Kinshasa
Wellington,Auckland
Perth,Wellington
Kigali,Nairobi
Mumbai,Delhi
Lahore,Karachi
Nur-Sultan,Almaty
Tashkent,Almaty
Ulaanbaatar,Beijing
Beijing,Shanghai
Shanghai,Hong Kong
Hong Kong,Tokyo
Tokyo,Seoul
Seoul,Beijing
Dubai,Singapore
Istanbul,Bangkok
Cairo,Dubai
Istanbul,Casablanca
Mumbai,Singapore
Dubai,Bangkok
