business_id,address,city,postal_code,selected_postal_code,latitude,longitude,phone_number,tax_code,business_certificate,owner_zip,owner_name,owner_address,owner_city,owner_state,centroid_lat,centroid_long,Distance from centroid
190,299 02nd St,S.F.,94105,94105,37.7856,-122.397,null,H24,350518,94105,MARRIOTT INTERNATIONAL,299 2ND STREET,S.F.,CA,37.78796406,-122.3977422,0.002477828
216,101 Spear St A12,S.F.,94105,94105,37.7926,-122.394,null,H24,403465,94105,HONG WALTER Y,101 SPEAR ST #A12,SAN FRANCISCO,CA,37.78796406,-122.3977422,0.005957842
389,1 MARKET St,S.F.,94105,94105,37.7943,-122.395,null,H24,204704,94015,"FADDOUL, GEORGE A.",724 LARCHMONT DR.,DALY CITY,CA,37.78796406,-122.3977422,0.00690389
409,82 01st St,S.F.,94105,94105,37.7886,-122.394,null,H26,370987,94080,"OLGUIN, ALFREDO",2618 FARNEE CT.,SO.S.F.,CA,37.78796406,-122.3977422,0.003795838
502,299 02nd St,S.F.,94105,94105,37.7856,-122.397,null,H24,350518,94105,MARRIOTT INTERNATIONAL,299 2ND STREET,S.F.,CA,37.78796406,-122.3977422,0.002477828
519,2 NEW MONTGOMERY St,S.F.,94105,94105,37.7883,-122.402,null,H24,395887,94030,KYO-YA COMPANY LTD.,1280 ROBLE,MILLBRAE,CA,37.78796406,-122.3977422,0.004271045
567,1 MARKET St,S.F.,94105,94105,37.7943,-122.395,null,H24,358709,94122,SAN FRANCISCO SOUP CO. LLC,1377 21ST AVENUE,S.F.,CA,37.78796406,-122.3977422,0.00690389
573,123 02nd St,S.F.,94105,94105,37.7878,-122.399,null,H24,301229,94105,"TRAN, NHUNG K.",123 2nd St.,San Francisco,CA,37.78796406,-122.3977422,0.001268467
758,2 New Montgomery St,S.F.,94105,94105,37.7883,-122.402,null,H24,395887,94030,KYO-YA COMPANY LTD.,1280 ROBLE,MILLBRAE,CA,37.78796406,-122.3977422,0.004271045
1085,333 MARKET St,S.F.,94105,94105,37.792,-122.398,null,H24,911744,98124,STARBUCKS COFFEE CO.,P O BOX 34067-TAX,SEATTLE,WA,37.78796406,-122.3977422,0.004044164
1269,201 SPEAR St,S.F.,94105,94105,37.7909,-122.392,null,H24,911744,98124,STARBUCKS COFFEE CO,P.O. BOX 34067-TAX,SEATTLE,WA,37.78796406,-122.3977422,0.006449221
1409,123 MISSION St,S.F.,94105,94105,37.7921,-122.395,null,H24,911744,98124,STARBUCKS COFFEE CO.,P O BOX 34076-TAX,SEATTLE,WA,37.78796406,-122.3977422,0.004962416
1487,101 02nd St 150,S.F.,94105,94105,37.7878,-122.4,null,H25,196325,94608,"PEET'S COFFEE & TEA, INC.",1400 PARK AVE,EMERYVILLE,CA,37.78796406,-122.3977422,0.002263765
1649,299 02nd St,S.F.,94105,94105,37.7856,-122.397,null,H25,350518,94105,MARRIOTT INTERNATIONAL,299 2ND STREET,S.F.,CA,37.78796406,-122.3977422,0.002477828
1652,201 03rd St,S.F.,94105,94105,37.785,-122.4,null,H25,911744,98124,STARBUCKS COFFEE CO.,P O BOX 34167-TAX,SEATTLE,WA,37.78796406,-122.3977422,0.003726041
1672,100 SPEAR St 140,S.F.,94105,94105,37.7923,-122.394,null,H25,427243,94105,WORKING GIRLS CAFE INC SPEAR,100 SPEAR ST #140,SAN FRANCISCO,CA,37.78796406,-122.3977422,0.005727506
